Log Date 27.2.25 : 12:53
Active SetInfos :
Var : $MSG_T.VALID -V* Job 32783
Var : $MSG_T.RELEASE -V* Job 32784
Var : $PRO_NAME1[] -V* Job 32785
Var : $PRO_STATE0* Job 33257
Var : $PRO_STATE1* Job 33258
Var : $MOT_STOP* Job 33259
Var : $PERI_RDY -V* Job 33260
Var : $WAIT_FOR[] -V* Job 33261
Var : $LOOP_MSG[] -V* Job 33262
Var : $MODE_OP* Job 33263
Var : $MOUSE_ACT* Job 33265
Var : $PRO_IP* Job 32870
Var : $PRO_MODE* Job 33270
Var : $LINE_SELECT* Job 33271
Var : $COSYS* Job 33272
Var : $TRANSSYS* Job 33273
Var : $MOUSE_DOM* Job 33274
Var : $ACTIVE_AXIS* Job 32778
Var : $ACTIVE_KAR* Job 32779
Var : $PRO_STATE* Job 32781
Var : $OV_JOG* Job 32787
Var : $OV_PRO* Job 32788
Var : $PHGBRIGHT* Job 32789
Var : $PHGCONT* Job 32790
Var : $PAL_MODE* Job 32791
--------
25 active SetInfos

SetInfo Events :
n:new
c:change
d:delete
e:end
Flag Time      Variable             Job
c    163706580             $PRO_IP*  33269
c    163706596          $PRO_STATE*  32781
c    163707566         $PRO_STATE1*  33258
c    163707580             $PRO_IP*  33269
c    163707596          $PRO_STATE*  32781
c    163708966         $PRO_STATE1*  33258
c    163708996          $PRO_STATE*  32781
c    163712770        $PERI_RDY -V*  33260
c    163729980             $PRO_IP*  33269
c    163732370        $PERI_RDY -V*  33260
c    163732966         $PRO_STATE1*  33258
c    163732980             $PRO_IP*  33269
c    163732996          $PRO_STATE*  32781
c    163744566         $PRO_STATE1*  33258
c    163744580             $PRO_IP*  33269
c    163744596          $PRO_STATE*  32781
c    163745970        $PERI_RDY -V*  33260
c    163748180             $PRO_IP*  33269
c    163748182           $PRO_MODE*  33270
c    163748380             $PRO_IP*  33269
c    163749382           $PRO_MODE*  33270
c    163750582           $PRO_MODE*  33270
c    163751582           $PRO_MODE*  33270
c    163752582           $PRO_MODE*  33270
c    163755570        $PERI_RDY -V*  33260
c    163755980             $PRO_IP*  33269
c    163757580             $PRO_IP*  33269
c    163758580             $PRO_IP*  33269
c    163759180             $PRO_IP*  33269
c    163759980             $PRO_IP*  33269
c    163760380             $PRO_IP*  33269
c    163761570        $PERI_RDY -V*  33260
c    163766570        $PERI_RDY -V*  33260
c    163767380             $PRO_IP*  33269
c    163771966         $PRO_STATE1*  33258
c    163771980             $PRO_IP*  33269
c    163771996          $PRO_STATE*  32781
c    163772166         $PRO_STATE1*  33258
c    163772180             $PRO_IP*  33269
c    163772196          $PRO_STATE*  32781
c    163774380             $PRO_IP*  33269
c    163776380             $PRO_IP*  33269
c    163778380             $PRO_IP*  33269
c    163779580             $PRO_IP*  33269
c    163780380             $PRO_IP*  33269
c    163780780             $PRO_IP*  33269
c    163780980             $PRO_IP*  33269
c    163781180             $PRO_IP*  33269
c    163781780             $PRO_IP*  33269
c    163781980             $PRO_IP*  33269
c    163782380             $PRO_IP*  33269
c    163782580             $PRO_IP*  33269
c    163782780             $PRO_IP*  33269
c    163783180             $PRO_IP*  33269
c    163783380             $PRO_IP*  33269
c    163783580             $PRO_IP*  33269
c    163783980             $PRO_IP*  33269
c    163784780             $PRO_IP*  33269
c    163786380             $PRO_IP*  33269
c    163786580             $PRO_IP*  33269
c    163786780             $PRO_IP*  33269
c    163787180             $PRO_IP*  33269
c    163787380             $PRO_IP*  33269
c    163787580             $PRO_IP*  33269
c    163787780             $PRO_IP*  33269
c    163787980             $PRO_IP*  33269
c    163788380             $PRO_IP*  33269
c    163788580             $PRO_IP*  33269
c    163788796          $PRO_STATE*  32781
c    163788980             $PRO_IP*  33269
c    163788996          $PRO_STATE*  32781
c    163789180             $PRO_IP*  33269
c    163789580             $PRO_IP*  33269
c    163790380             $PRO_IP*  33269
c    163790780             $PRO_IP*  33269
c    163790980             $PRO_IP*  33269
c    163791380             $PRO_IP*  33269
c    163791580             $PRO_IP*  33269
c    163791980             $PRO_IP*  33269
c    163792180             $PRO_IP*  33269
c    163792580             $PRO_IP*  33269
c    163792980             $PRO_IP*  33269
c    163794370        $PERI_RDY -V*  33260
c    163798170        $PERI_RDY -V*  33260
c    163798180             $PRO_IP*  33269
c    163798780             $PRO_IP*  33269
c    163799380             $PRO_IP*  33269
c    163799780             $PRO_IP*  33269
c    163800380             $PRO_IP*  33269
c    163800980             $PRO_IP*  33269
c    163801780             $PRO_IP*  33269
c    163805180             $PRO_IP*  33269
c    163808180             $PRO_IP*  33269
c    163808780             $PRO_IP*  33269
c    163809180             $PRO_IP*  33269
c    163809380             $PRO_IP*  33269
c    163809580             $PRO_IP*  33269
c    163810366         $PRO_STATE1*  33258
c    163810380             $PRO_IP*  33269
c    163810396          $PRO_STATE*  32781
c    163810566         $PRO_STATE1*  33258
c    163810596          $PRO_STATE*  32781
c    163810796          $PRO_STATE*  32781
c    163810966         $PRO_STATE1*  33258
c    163815566         $PRO_STATE1*  33258
c    163815580             $PRO_IP*  33269
c    163815596          $PRO_STATE*  32781
c    163816580             $PRO_IP*  33269
c    163817980             $PRO_IP*  33269
c    163818380             $PRO_IP*  33269
c    163818980             $PRO_IP*  33269
c    163819380             $PRO_IP*  33269
c    163819780             $PRO_IP*  33269
c    163820980             $PRO_IP*  33269
c    163821180             $PRO_IP*  33269
c    163821980             $PRO_IP*  33269
c    163822580             $PRO_IP*  33269
c    163823580             $PRO_IP*  33269
c    163824396          $PRO_STATE*  32781
c    163824580             $PRO_IP*  33269
c    163824596          $PRO_STATE*  32781
c    163824980             $PRO_IP*  33269
c    163825580             $PRO_IP*  33269
c    163826180             $PRO_IP*  33269
c    163826980             $PRO_IP*  33269
c    163828180             $PRO_IP*  33269
c    163829980             $PRO_IP*  33269
c    163831380             $PRO_IP*  33269
c    163831580             $PRO_IP*  33269
c    163832780             $PRO_IP*  33269
c    163833180             $PRO_IP*  33269
c    163834980             $PRO_IP*  33269
c    163837380             $PRO_IP*  33269
c    163839170        $PERI_RDY -V*  33260
c    163857164     $PRO_NAME1[] -V*  32785
c    163857168         $PRO_STATE1*  33258
c    163857182             $PRO_IP*  33269
c    163857198          $PRO_STATE*  32781
c    163863770     $PRO_NAME1[] -V*  32785
c    163863774         $PRO_STATE1*  33258
c    163863788             $PRO_IP*  33269
c    163863804          $PRO_STATE*  32781
c    163867782        $PERI_RDY -V*  33260
c    163868178         $PRO_STATE1*  33258
c    163868192             $PRO_IP*  33269
c    163868208          $PRO_STATE*  32781
c    163871792             $PRO_IP*  33269
c    163872982        $PERI_RDY -V*  33260
c    163873792             $PRO_IP*  33269
c    163873794           $PRO_MODE*  33270
c    163873992             $PRO_IP*  33269
c    163876782        $PERI_RDY -V*  33260
c    163877178         $PRO_STATE1*  33258
c    163877192             $PRO_IP*  33269
c    163877208          $PRO_STATE*  32781
c    163899778         $PRO_STATE1*  33258
c    163899792             $PRO_IP*  33269
c    163899808          $PRO_STATE*  32781
c    163900982        $PERI_RDY -V*  33260
c    163904188            $MODE_OP*  33263
c    163904812             $OV_PRO*  32788
c    163905212             $OV_PRO*  32788
c    163905612             $OV_PRO*  32788
c    163906012             $OV_PRO*  32788
c    163907212             $OV_PRO*  32788
c    163908582        $PERI_RDY -V*  33260
c    163910978         $PRO_STATE1*  33258
c    163910992             $PRO_IP*  33269
c    163911008          $PRO_STATE*  32781
c    163913212             $OV_PRO*  32788
c    163913612             $OV_PRO*  32788
c    163914612             $OV_PRO*  32788
c    163914792             $PRO_IP*  33269
c    163915812             $OV_PRO*  32788
c    163915992             $PRO_IP*  33269
c    163917192             $PRO_IP*  33269
c    163918792             $PRO_IP*  33269
c    163920012             $OV_PRO*  32788
c    163920592             $PRO_IP*  33269
c    163921592             $PRO_IP*  33269
c    163921792             $PRO_IP*  33269
c    163922392             $PRO_IP*  33269
c    163923392             $PRO_IP*  33269
c    163923812             $OV_PRO*  32788
c    163925812             $OV_PRO*  32788
c    163925992             $PRO_IP*  33269
c    163928192             $PRO_IP*  33269
c    163928592             $PRO_IP*  33269
c    163929392             $PRO_IP*  33269
c    163930384      $WAIT_FOR[] -V*  33261
c    163930392             $PRO_IP*  33269
c    163931984      $WAIT_FOR[] -V*  33261
c    163931992             $PRO_IP*  33269
c    163932392             $PRO_IP*  33269
c    163933592             $PRO_IP*  33269
c    163934612             $OV_PRO*  32788
c    163935592             $PRO_IP*  33269
c    163936992             $PRO_IP*  33269
c    163937012             $OV_PRO*  32788
c    163938392             $PRO_IP*  33269
c    163939384      $WAIT_FOR[] -V*  33261
c    163939392             $PRO_IP*  33269
c    163941184      $WAIT_FOR[] -V*  33261
c    163941192             $PRO_IP*  33269
c    163941384      $WAIT_FOR[] -V*  33261
c    163941392             $PRO_IP*  33269
c    163941792             $PRO_IP*  33269
c    163943012             $OV_PRO*  32788
c    163943612             $OV_PRO*  32788
c    163943784      $WAIT_FOR[] -V*  33261
c    163943792             $PRO_IP*  33269
c    163944612             $OV_PRO*  32788
c    163944784      $WAIT_FOR[] -V*  33261
c    163944792             $PRO_IP*  33269
c    163945992             $PRO_IP*  33269
c    163946612             $OV_PRO*  32788
c    163947212             $OV_PRO*  32788
c    163951412             $OV_PRO*  32788
c    163951812             $OV_PRO*  32788
c    163954592             $PRO_IP*  33269
c    163955412             $OV_PRO*  32788
c    163958612             $OV_PRO*  32788
c    163959378         $PRO_STATE1*  33258
c    163959392             $PRO_IP*  33269
c    163959408          $PRO_STATE*  32781
n    163980370  $PRO_IP.NAME_C[] -V  33230
c    163980620  $PRO_IP.NAME_C[] -V  33230
d    164020572  $PRO_IP.NAME_C[] -V  33230
c    164028614             $OV_PRO*  32788
c    164028814             $OV_PRO*  32788
c    164034984        $PERI_RDY -V*  33260
c    164034990            $MODE_OP*  33263
c    164043990            $MODE_OP*  33263
c    164047584        $PERI_RDY -V*  33260
c    164054580         $PRO_STATE1*  33258
c    164054594             $PRO_IP*  33269
c    164054610          $PRO_STATE*  32781
c    164056814             $OV_PRO*  32788
c    164060394             $PRO_IP*  33269
c    164063594             $PRO_IP*  33269
c    164063814             $OV_PRO*  32788
c    164068614             $OV_PRO*  32788
c    164070394             $PRO_IP*  33269
c    164070614             $OV_PRO*  32788
c    164071194             $PRO_IP*  33269
c    164075814             $OV_PRO*  32788
c    164077814             $OV_PRO*  32788
c    164079814             $OV_PRO*  32788
c    164081814             $OV_PRO*  32788
c    164082414             $OV_PRO*  32788
c    164084414             $OV_PRO*  32788
c    164085814             $OV_PRO*  32788
c    164092180         $PRO_STATE1*  33258
c    164092184        $PERI_RDY -V*  33260
c    164092190            $MODE_OP*  33263
c    164092194             $PRO_IP*  33269
c    164092210          $PRO_STATE*  32781
c    164099194             $PRO_IP*  33269
c    164099196           $PRO_MODE*  33270
c    164099394             $PRO_IP*  33269
c    164101784        $PERI_RDY -V*  33260
c    164105394             $PRO_IP*  33269
c    164105410          $PRO_STATE*  32781
c    164105580         $PRO_STATE1*  33258
c    164107414             $OV_PRO*  32788
c    164107814             $OV_PRO*  32788
c    164108214             $OV_PRO*  32788
c    164108614             $OV_PRO*  32788
c    164109780         $PRO_STATE1*  33258
c    164109794             $PRO_IP*  33269
c    164109810          $PRO_STATE*  32781
c    164115780         $PRO_STATE1*  33258
c    164115786      $WAIT_FOR[] -V*  33261
c    164115794             $PRO_IP*  33269
c    164115810          $PRO_STATE*  32781
c    164115986      $WAIT_FOR[] -V*  33261
c    164115994             $PRO_IP*  33269
c    164125410          $PRO_STATE*  32781
c    164125580         $PRO_STATE1*  33258
c    164126984        $PERI_RDY -V*  33260
c    164126990            $MODE_OP*  33263
c    164126996           $PRO_MODE*  33270
c    164132380         $PRO_STATE1*  33258
c    164132384        $PERI_RDY -V*  33260
c    164132410          $PRO_STATE*  32781
c    164133780         $PRO_STATE1*  33258
c    164133794             $PRO_IP*  33269
c    164133810          $PRO_STATE*  32781
c    164139014             $OV_PRO*  32788
c    164143780         $PRO_STATE1*  33258
c    164143794             $PRO_IP*  33269
c    164143810          $PRO_STATE*  32781
c    164145614             $OV_PRO*  32788
c    164145994             $PRO_IP*  33269
c    164147394             $PRO_IP*  33269
c    164148194             $PRO_IP*  33269
c    164148414             $OV_PRO*  32788
c    164148594             $PRO_IP*  33269
c    164149386      $WAIT_FOR[] -V*  33261
c    164149394             $PRO_IP*  33269
c    164149586      $WAIT_FOR[] -V*  33261
c    164149594             $PRO_IP*  33269
c    164150394             $PRO_IP*  33269
c    164151394             $PRO_IP*  33269
c    164151594             $PRO_IP*  33269
c    164151994             $PRO_IP*  33269
c    164152594             $PRO_IP*  33269
c    164153994             $PRO_IP*  33269
c    164155594             $PRO_IP*  33269
c    164155794             $PRO_IP*  33269
c    164156394             $PRO_IP*  33269
c    164156986      $WAIT_FOR[] -V*  33261
c    164156994             $PRO_IP*  33269
c    164157186      $WAIT_FOR[] -V*  33261
c    164157194             $PRO_IP*  33269
c    164158786      $WAIT_FOR[] -V*  33261
c    164158794             $PRO_IP*  33269
c    164158994             $PRO_IP*  33269
c    164159794             $PRO_IP*  33269
c    164161394             $PRO_IP*  33269
c    164162994             $PRO_IP*  33269
c    164163794             $PRO_IP*  33269
c    164164588      $WAIT_FOR[] -V*  33261
c    164164596             $PRO_IP*  33269
c    164166388      $WAIT_FOR[] -V*  33261
c    164166396             $PRO_IP*  33269
c    164166588      $WAIT_FOR[] -V*  33261
c    164166596             $PRO_IP*  33269
c    164166788      $WAIT_FOR[] -V*  33261
c    164166796             $PRO_IP*  33269
c    164166996             $PRO_IP*  33269
c    164168188      $WAIT_FOR[] -V*  33261
c    164168196             $PRO_IP*  33269
